---------------------------------
| Contestant  #  | Overall Time |
| Contestant 704 | 63.61259284  |
| Contestant 392 | 69.39840410  |
| Contestant 900 | 72.22769408  |
| Contestant 305 | 75.10239937  |
| Contestant 288 | 82.98851992  |
| Contestant 701 | 83.82554623  |
| Contestant 736 | 85.97211667  |
| Contestant 636 | 87.74177661  |
| Contestant 916 | 91.21384135  |
| Contestant 920 | 93.99288155  |
| Contestant 925 | 94.76069729  |
| Contestant 196 | 97.07469512  |
| Contestant 653 | 97.25057623  |
| Contestant 634 | 99.97913462  |
| Contestant 893 | 100.89707749 |
| Contestant 661 | 102.68766411 |
| Contestant 299 | 102.94583554 |
| Contestant 521 | 104.23807444 |
| Contestant 116 | 106.42205396 |
| Contestant 530 | 107.28111016 |
| Contestant 720 | 108.83985597 |
| Contestant 070 | 110.69402089 |
| Contestant 843 | 111.05980298 |
| Contestant 760 | 112.06125990 |
| Contestant 090 | 112.19044965 |
| Contestant 677 | 112.88250774 |
| Contestant 144 | 114.23209826 |
| Contestant 081 | 115.02731304 |
| Contestant 899 | 115.29543808 |
| Contestant 542 | 115.51484908 |
| Contestant 293 | 116.46073445 |
| Contestant 832 | 117.99449027 |
| Contestant 672 | 118.62168316 |
| Contestant 948 | 120.23131857 |
| Contestant 440 | 121.12899348 |
| Contestant 712 | 122.10435529 |
| Contestant 725 | 122.16743163 |
| Contestant 053 | 122.17500103 |
| Contestant 240 | 122.93555637 |
| Contestant 761 | 123.47016879 |
| Contestant 295 | 123.69915186 |
| Contestant 978 | 124.79022695 |
| Contestant 384 | 125.13291829 |
| Contestant 809 | 125.33971259 |
| Contestant 088 | 126.28746814 |
| Contestant 098 | 126.90375688 |
| Contestant 317 | 127.25293353 |
| Contestant 545 | 127.33689555 |
| Contestant 615 | 128.42945880 |
| Contestant 359 | 128.49223971 |
| Contestant 157 | 129.15359109 |
| Contestant 537 | 129.29104212 |
| Contestant 833 | 129.29583886 |
| Contestant 156 | 130.72700144 |
| Contestant 726 | 130.94451305 |
| Contestant 885 | 131.14601901 |
| Contestant 472 | 131.23833683 |
| Contestant 134 | 131.29439601 |
| Contestant 864 | 131.35362124 |
| Contestant 863 | 131.51768613 |
| Contestant 977 | 131.78242210 |
| Contestant 195 | 132.18683730 |
| Contestant 349 | 133.13588100 |
| Contestant 297 | 133.24340294 |
| Contestant 693 | 133.60161365 |
| Contestant 844 | 133.71730413 |
| Contestant 290 | 133.77184266 |
| Contestant 062 | 133.83738751 |
| Contestant 332 | 134.81652348 |
| Contestant 003 | 135.25490174 |
| Contestant 370 | 135.64363716 |
| Contestant 160 | 135.85545586 |
| Contestant 422 | 137.00254546 |
| Contestant 127 | 137.24940500 |
| Contestant 232 | 137.44589801 |
| Contestant 065 | 137.87001475 |
| Contestant 519 | 137.92245414 |
| Contestant 610 | 138.87244777 |
| Contestant 783 | 139.20427237 |
| Contestant 037 | 139.30738285 |
| Contestant 125 | 139.42020050 |
| Contestant 716 | 139.88506325 |
| Contestant 525 | 139.99612578 |
| Contestant 056 | 140.36451170 |
| Contestant 506 | 140.53706921 |
| Contestant 011 | 140.62959696 |
| Contestant 123 | 140.66319764 |
| Contestant 847 | 141.25310607 |
| Contestant 389 | 141.70427239 |
| Contestant 526 | 141.75563930 |
| Contestant 152 | 141.77005195 |
| Contestant 079 | 141.90609515 |
| Contestant 493 | 141.96114120 |
| Contestant 084 | 142.35847733 |
| Contestant 849 | 142.46829038 |
| Contestant 748 | 142.51202375 |
| Contestant 382 | 142.97876475 |
| Contestant 193 | 143.20877335 |
| Contestant 995 | 143.46999714 |
| Contestant 946 | 143.89340167 |
| Contestant 380 | 143.96093033 |
| Contestant 804 | 144.31980351 |
| Contestant 147 | 144.52155390 |
| Contestant 130 | 144.89801787 |
| Contestant 987 | 144.99913395 |
| Contestant 691 | 145.21406252 |
| Contestant 118 | 145.28264522 |
| Contestant 007 | 145.28647290 |
| Contestant 146 | 145.43461248 |
| Contestant 255 | 145.75144763 |
| Contestant 939 | 146.57006539 |
| Contestant 958 | 146.65679548 |
| Contestant 161 | 146.68258387 |
| Contestant 097 | 146.86199997 |
| Contestant 971 | 147.56147760 |
| Contestant 301 | 148.07579873 |
| Contestant 700 | 148.39601898 |
| Contestant 733 | 148.70227985 |
| Contestant 428 | 148.82432575 |
| Contestant 455 | 148.93012806 |
| Contestant 652 | 148.99257671 |
| Contestant 061 | 149.31073160 |
| Contestant 439 | 150.22045727 |
| Contestant 680 | 150.55102158 |
| Contestant 352 | 150.78473520 |
| Contestant 970 | 150.90779748 |
| Contestant 599 | 151.39353749 |
| Contestant 794 | 152.10938208 |
| Contestant 865 | 152.79805456 |
| Contestant 781 | 152.89770424 |
| Contestant 817 | 153.26206128 |
| Contestant 575 | 153.52944080 |
| Contestant 402 | 153.53269677 |
| Contestant 318 | 153.79873693 |
| Contestant 973 | 154.09385303 |
| Contestant 009 | 154.17836388 |
| Contestant 153 | 154.30548843 |
| Contestant 449 | 154.31333795 |
| Contestant 684 | 154.65516940 |
| Contestant 928 | 154.75837914 |
| Contestant 816 | 155.08930941 |
| Contestant 624 | 155.14183765 |
| Contestant 955 | 155.73580597 |
| Contestant 571 | 155.90338794 |
| Contestant 662 | 156.42084862 |
| Contestant 534 | 156.61228127 |
| Contestant 173 | 156.76200359 |
| Contestant 996 | 156.80256222 |
| Contestant 896 | 157.02887626 |
| Contestant 431 | 157.27783250 |
| Contestant 626 | 157.55065162 |
| Contestant 279 | 157.55630911 |
| Contestant 398 | 157.67560024 |
| Contestant 410 | 157.93688235 |
| Contestant 470 | 157.94337005 |
| Contestant 876 | 158.71847383 |
| Contestant 319 | 158.79273436 |
| Contestant 705 | 158.85267669 |
| Contestant 136 | 159.49618078 |
| Contestant 420 | 159.51532165 |
| Contestant 257 | 160.12706858 |
| Contestant 284 | 160.32769310 |
| Contestant 476 | 160.89576462 |
| Contestant 408 | 160.91081856 |
| Contestant 625 | 161.27456074 |
| Contestant 985 | 161.33738601 |
| Contestant 544 | 161.51941645 |
| Contestant 210 | 161.66810761 |
| Contestant 017 | 162.26212648 |
| Contestant 140 | 162.45540849 |
| Contestant 993 | 162.50109209 |
| Contestant 199 | 162.51106487 |
| Contestant 334 | 162.71643853 |
| Contestant 675 | 163.02895412 |
| Contestant 261 | 163.16486549 |
| Contestant 883 | 163.21458505 |
| Contestant 522 | 163.53052230 |
| Contestant 975 | 163.74135181 |
| Contestant 008 | 164.26785339 |
| Contestant 666 | 164.29855242 |
| Contestant 609 | 164.31903002 |
| Contestant 877 | 164.50585892 |
| Contestant 743 | 164.66327804 |
| Contestant 921 | 164.87212467 |
| Contestant 830 | 165.05186640 |
| Contestant 397 | 165.43189844 |
| Contestant 159 | 165.50604887 |
| Contestant 287 | 166.89307165 |
| Contestant 175 | 166.91927543 |
| Contestant 376 | 167.53301328 |
| Contestant 216 | 167.94114209 |
| Contestant 366 | 168.32606861 |
| Contestant 253 | 168.39179515 |
| Contestant 453 | 168.44847767 |
| Contestant 492 | 168.58315707 |
| Contestant 342 | 168.62209902 |
| Contestant 466 | 168.67749027 |
| Contestant 105 | 168.69562799 |
| Contestant 988 | 168.74976242 |
| Contestant 379 | 168.89965944 |
| Contestant 503 | 169.04704520 |
| Contestant 810 | 170.02975828 |
| Contestant 044 | 170.05205634 |
| Contestant 174 | 170.21936330 |
| Contestant 612 | 170.38445422 |
| Contestant 897 | 170.74767883 |
| Contestant 717 | 170.83190321 |
| Contestant 462 | 171.05821719 |
| Contestant 286 | 171.27115560 |
| Contestant 131 | 171.29831264 |
| Contestant 697 | 171.41517880 |
| Contestant 075 | 171.55297251 |
| Contestant 171 | 171.90281662 |
| Contestant 518 | 172.00879427 |
